DGREM_Mean,DGREM_sd,SegSites,Grantham_mean_Position,Grantham_sd_Position,Grantham_sk_Position,Grantham_ku_Position
-0.15366,0.02717078496391953,96,49632.05625,75376.32577318682,2.240940365108061,8.806192664076393
-0.16323000000000001,0.020470089290365968,52,27774.7,74578.31796204245,3.93031254511369,19.445250456082814
-0.1799,0.004296251596191478,10,3031.0,14945.60860336574,5.735094525810224,38.808275835426215
-0.14179,0.03449242912099214,97,59448.5,92003.07823355694,2.3014857402120064,9.630425331548754
-0.06445000000000001,0.026542596791656322,128,116653.35625,146578.7856911493,2.225984577724128,9.586089913030824
-0.07199,0.014653437215282367,117,122067.4375,184986.54708247326,2.9415287319163084,13.639139394953078
0.06470000000000001,0.0573403096530801,134,191938.06875,216055.1822123839,1.9879255315675803,7.893872079897455
-0.1892,0.0,0,0.0,0.0,0,0
-0.07726999999999999,0.018701161580084925,118,119044.25625,169001.1864059408,3.043106398140851,15.61513162293675
-0.07769000000000001,0.02454929055322509,120,128442.0125,173413.0653006353,2.733968914796927,13.419890371686881
-0.13289999999999996,0.048431670079263904,82,58098.14375,112856.31471664787,4.163333598144187,29.12360338064617
-0.16796,0.041125126139624185,81,59521.36875,106534.84026755193,2.766998554363398,12.34720352023368
-0.15405999999999997,0.02767169432229741,69,39306.65625,80366.41000684357,3.5763896751184636,20.449376375530598
-0.18704999999999997,0.01152612973493994,26,18003.31875,68180.0909828497,4.9096698218337975,28.900414773483234
-0.10749,0.024493511612488545,95,75973.35,111982.75824095638,2.2325375761432626,9.57972977964966
-0.16572,0.012833012983014636,60,40017.88125,96953.45351464869,4.291166626777188,25.942133498962956
-0.16541,0.017042460046731645,67,40019.5375,87013.49657408669,4.372658099034603,30.053348865826166
-0.15552,0.02556024691238765,82,57188.9625,101244.69608280029,3.09902481113671,15.52011602284069
-0.16636,0.04537956466173831,80,59250.0125,106162.19036997041,2.7858837052068885,12.515433667644444
-0.16336,0.025433101790121215,73,41286.68125,79889.72232321036,3.3371058869686703,18.963892304627674
-0.15158000000000002,0.008134945195472023,8,5265.2625,28649.365851072398,7.449119934340046,67.17167595350111
-0.13611,0.032605604494387846,100,64518.89375,95802.08211989686,2.3815047761695225,11.000929191246858
-0.14267,0.03160808792417255,98,59278.0875,91987.6084002887,2.4551188499082994,11.089566988226137
-0.18055,0.01286763813258327,45,25191.96875,67794.68895979444,4.0694188131039875,23.144516775389338
-0.12493000000000001,0.04043502469669361,97,79474.95625,118250.79895625162,2.0147645353927763,7.1398361870177105
-0.13301000000000002,0.006432806541471609,34,24610.68125,94572.39320867986,6.99034839682268,61.24911536603274
-0.07539,0.015890909350946534,119,119264.75625,164810.38103024446,2.9883336055042187,16.01366458811872
0.03986,0.02755935816056358,136,184769.01875,197888.45735178294,2.087848009090688,9.34507918257287
-0.00447,0.03880836250088375,131,162710.03125,183392.34935533098,2.103436233984475,9.422945495599816
-0.01885,0.027905764040188307,130,159690.78125,181969.08235647724,2.1551204941119906,9.76803550207108
-0.16662999999999997,0.01868184204574651,66,44051.1375,96391.27826893155,3.8150710005254855,22.00008472603272
-0.12701,0.01633329591832449,82,55714.825,93278.86868957449,2.913709843618484,15.281008290638232
-0.21198,0.006476247198631146,10,2797.1875,20963.927883446453,10.245807634989825,115.0315366361511
-0.19976,0.005565608681896342,1,3132.9,39504.36587505237,12.530215054346655,158.0062893081766
-0.19033999999999998,0.013495612455741143,25,14612.46875,54146.12711057018,4.484064124452746,23.110021863520764
-0.15993000000000002,0.027118384497933832,72,39074.38125,75287.18944846063,3.5377851673997935,22.150766579931666
-0.20066,0.011188406698205268,4,2116.1,26145.856925907097,12.527137972251959,157.9548994674478
-0.18137,0.03251365695963604,37,17424.775,47788.38855045614,3.272974447897473,13.494512236652946
-0.20066,0.011188406698205268,4,2116.1,26145.856925907097,12.527137972251959,157.9548994674478
-0.17770000000000002,0.018964996997392614,54,35591.425,88295.76020749459,4.410945668964425,29.261331974062788
-0.13224999999999998,0.043196868456456934,54,37224.78125,88239.76094310262,3.312535739796063,15.178698891598465
-0.18161999999999998,0.009643858149101946,21,7201.525,26399.68791907159,5.18397005328545,36.448492268862516
-0.12442,0.023843135513415825,70,38833.725,73615.19407992053,2.466345099667147,9.478974649043446
-0.18217,0.0111472019408958,44,24985.375,67532.67199518597,4.090738113608937,23.452240195167104
-0.039380000000000005,0.03840985984527063,138,169093.51875,171624.35697115425,1.4411575246139667,5.221719295269364
-0.0657,0.010406194736256327,121,133811.3125,173616.44404484658,2.608579140356891,12.890211068849556
-0.024830000000000005,0.0359780504073124,131,158198.59375,185909.5956367401,2.5847596861073927,12.526912444495895
-0.07205,0.06499265343098402,93,101536.025,169161.2385280666,2.267138621470113,8.553412726017518
-0.07472000000000001,0.016156030865696357,115,127650.1125,194276.65060172533,2.682212705270117,11.583750332015098
-0.13289999999999996,0.048431670079263904,82,58098.14375,112856.31471664787,4.163333598144187,29.12360338064617
-0.13455,0.02409915858374405,88,67362.16875,108872.21354460814,2.8141877229750216,13.757321404898022
-0.17783,0.02579186133475269,55,36255.14375,87284.8058805803,4.402208730194883,29.796486422162385
-0.12701,0.01633329591832449,82,55714.825,93278.86868957449,2.913709843618484,15.281008290638232
-0.19420999999999997,0.026475877910111148,29,13753.275,46586.790977962606,4.820578179990662,29.572589588285915
-0.10138,0.009302902772790864,5,2701.15,22018.64912017767,9.592153843134751,99.56910732174182
-0.16415000000000002,0.027937599117398123,72,40897.38125,78253.77328417399,3.3110630394102913,19.337143307367917
-0.18921000000000002,0.017859230417661097,27,13261.91875,49092.655404980345,5.236280480186046,32.91532219096205
-0.13446,0.024328045087465985,88,67351.65625,108866.13039560599,2.8148521911968305,13.761408902827604
-0.1819,0.030366392241716462,39,20664.725,54160.054668772005,2.958924440059476,10.939503062578538
-0.19011999999999998,0.013929329568296607,25,14349.21875,54017.32878260825,4.526622265101117,23.415621421401525
-0.10896999999999998,0.07355344315530035,87,56386.64375,85074.69971393865,1.9383913695580202,6.902972568071014
-0.15183,0.02620882167006623,97,54899.38125,82450.29004435577,2.094641968216832,7.642752458838445
-0.12469,0.016380031881667523,106,64619.41875,85796.21825242884,1.7265641016291986,5.940860007888739
-0.17527,0.009548478645545816,47,25908.76875,65454.87666746293,3.6114190629783387,17.917567253507485
-0.06756999999999999,0.0396212358885148,137,160935.75625,166375.15086310764,1.6512161110956836,6.090801904839619
-0.10994,0.04486667161961339,69,61737.55625,137761.84685852518,3.584464463369655,19.10107100866132
0.01088,0.0401435978014483,132,172643.9875,198321.7864674098,2.2788373851663075,10.035912961859454
-0.18923,9.48683298050497e-05,1,57.6,726.3083642641058,12.53021505434667,158.0062893081752
-0.15614,0.00524747558355444,29,26565.39375,100163.60111912512,6.2083314065244855,49.44397962648218
-0.12669,0.04287657868813695,90,67861.9625,125145.07984599756,2.9385116336074253,13.568169245252276
