DGREM_Mean,DGREM_sd,SegSites,Grantham_mean_Position,Grantham_sd_Position,Grantham_sk_Position,Grantham_ku_Position
0.010246093750000003,0.021741519850471916,272,25948529.989583332,32869715.17795437,2.1960154488595336,8.209802822997208
-0.02507031250000001,0.012787477630617508,270,19539888.423611112,26517548.744597405,2.862880746787651,12.59324894289551
0.12012343750000003,0.01599013713913506,288,45816720.81944445,33103204.43294983,1.2899225544323913,4.484048893140944
0.05350859375000003,0.02160026621060708,272,23610133.298611112,29706780.470843427,2.2123057037028264,8.258644092582413
0.09283359375000003,0.021124797077136555,288,46067125.20138889,34402028.996024475,1.2397855544172076,4.323269191412888
-0.04867890625,0.011301506082782646,171,7950686.118055556,19591162.09624492,4.391178206864583,25.18998467397252
0.07926171875,0.024758092993528023,277,27298277.59375,31696781.12213956,2.2217839972915634,8.406118645804192
0.10700312499999998,0.021352707097548565,286,31211321.621527776,25684183.298053715,1.7456007400618918,7.894351470681685
0.08491953125000004,0.028666675373051155,284,31296319.111111112,29423113.847907346,1.6210954288542674,5.904568172011715
-0.031465625000000004,0.008587873133706035,215,10191313.027777778,22583039.74757499,3.685173328540018,18.15106616697545
-0.07546562500000002,0.003701785853333091,11,243297.89236111112,1861362.2047599775,9.114232948645311,90.27763175209533
0.005421093750000002,0.01656012501542712,241,22564080.979166668,31937403.838098943,2.2092458280897,8.314908959722118
0.14374531250000003,0.0199693026598445,288,50665221.503472224,37415776.24582329,1.0420798311081152,3.851075834026282
0.09792109374999998,0.015139532920866745,271,13968702.263888888,21223153.49622422,3.4553959408710084,17.12261252101082
-0.07451562500000002,0.0051957195813962034,80,1722247.920138889,8540888.068144271,9.598773369598701,108.95313284228607
-0.011575781249999998,0.02204999953967807,284,28176721.427083332,32152324.375927273,2.061639628180332,7.242878943939165
-0.022651562500000017,0.026912746107582198,274,18974836.965277776,24975848.775988802,2.4465354734797358,9.730197396160566
0.16367734375,0.025577540636557757,288,48304450.03125,35914135.54613469,1.075556413967483,3.690440634477362
0.04104375000000001,0.01720904244088797,280,31961249.329861112,36166325.30676197,1.848890983664533,6.6163520378401435
-0.0015132812500000003,0.031318029249583317,280,24115246.854166668,28053367.53716376,2.1652324962966625,8.31643882549436
-0.016890625000000017,0.011665241710878876,250,18115205.201388888,26515948.856069293,2.738149583980214,11.994000112794886
0.0085953125,0.028299010470374447,273,26903080.496527776,33924450.455723345,2.123454900120139,7.698982919977312
0.0404578125,0.01609086212718458,274,29338180.583333332,31153416.83566311,1.663668316853176,5.752645196377997
0.16893281250000008,0.024653274716197094,286,41806464.63194445,36668253.0482201,1.3154909872794662,4.3930710296838615
-0.00288046875,0.016149693732469328,263,18571048.642361112,27482597.99746392,2.7477672414572956,11.627072210521712
0.08457421875000003,0.02230804468465488,288,41753951.9375,34280731.08083732,1.4046282519421975,4.667921146790913
-0.04438671875000001,0.01011297109776413,175,5623667.166666667,13018351.42034065,5.189886464943643,39.432809010692715
0.051231249999999985,0.02432004374089519,278,25064840.142361112,27302539.466973633,2.2234382051704853,8.78912656779147
-0.03517421874999999,0.016365597901098296,149,5609817.743055556,14271387.339114219,4.750692341292405,32.83670337211682
0.08494062499999998,0.050557765258689547,286,41229466.309027776,33356564.86515746,1.5218528951858266,5.310886024746589
0.008899218749999998,0.01987430777715448,272,24813143.618055556,29527264.712678626,2.1109237253036603,8.132348959754976
0.06318671875000001,0.022563828523824565,267,34450236.625,39703268.12994352,1.6618860625147898,5.357011025598434
0.14622265624999994,0.021290200380899616,288,50083932.059027776,37390220.580395415,1.0748844881463284,3.9234057357688426
-0.06813749999999998,0.0054358535610341705,76,1363002.798611111,7168114.55563598,12.32839994195151,180.35273381107382
0.11940625000000003,0.014790349854513165,281,18172296.854166668,24666366.33437549,2.748148241118836,11.41769616334328
-0.03456640625000001,0.03346980135482282,280,21102812.583333332,27406875.576591745,2.3777024545736687,9.216106521896487
-0.042861718749999986,0.024226923011340936,259,13950637.048611112,25010073.33471282,3.58294316906328,18.104906135388184
0.07255625,0.022142049460939898,283,37188663.92013889,38290131.095801145,1.748395251057182,5.957428303775624
0.03849687499999998,0.023263962660334057,272,29014047.875,38257331.88229094,1.9897050047534561,6.586940503598564
0.06787265625,0.015470549694481105,280,29512797.086805556,31558495.76619128,1.8825530700288535,6.8277627923331
0.08834921874999999,0.025509967161517336,280,36042889.73611111,36195491.814528644,1.6259609508941775,5.287189017730593
-0.04998359374999998,0.012221098171873702,152,6286881.340277778,16223954.80052438,4.3050928361501795,24.40605233528322
0.0786765625,0.03642803818548711,285,38218287.815972224,33547867.64969654,1.256017327854396,4.090234006853121
-0.020103906249999994,0.014955653092533692,232,16921926.982638888,27035218.63660462,2.7189966430345938,11.511312497541445
0.08931015624999995,0.016919512287249475,282,37308318.34375,35808984.00836518,1.6502508576723776,5.575745355650037
0.11405234375000002,0.025807534042624456,288,46457477.16319445,33815871.16978541,1.2209692614066259,4.227127688696532
-0.04661406250000001,0.012026275265100514,241,11094437.246527778,19143332.6770609,3.2363677638106503,16.49119486377083
0.004733593749999999,0.028032195431040626,273,21005671.805555556,23260892.8200178,2.1505587637604506,9.759534381642949
0.03002421874999999,0.018236485649205037,253,16978280.628472224,23301337.181995045,2.3800477566942195,9.784426797358883
0.012834375000000004,0.021050159209751975,273,25470706.232638888,28380525.881283343,1.915733396136535,7.54250962995823
0.06195234375000002,0.04193377975126213,285,37380331.97569445,32904637.451819655,1.4552530623031072,5.07699371814772
0.08760078125000005,0.017277856640610954,286,45420844.25694445,38586415.42204768,1.152768867756879,3.8555199982719532
