DGREM_Mean,DGREM_sd,SegSites,Grantham_mean_Position,Grantham_sd_Position,Grantham_sk_Position,Grantham_ku_Position
-0.11101333333333334,0.04180622568167481,284,1501291.8996655517,1683799.0031810796,1.7611940907824817,6.210142281745392
-0.21485333333333337,0.006684347817635344,13,37759.24080267559,361688.3896071385,12.608801139830138,170.3286143721692
-0.08332999999999997,0.022846204694992937,271,1470834.3779264214,1870316.648263382,1.9409221884056362,6.459295061153738
-0.10871999999999998,0.03573713802870563,242,972836.127090301,1365185.08277792,2.299171247572732,9.189652306640134
0.0007433333333333335,0.021855287111192195,281,1108171.0133779263,1434315.5415823113,2.5972008270442717,11.332212132429456
-0.21128000000000005,0.002376087772673454,14,24962.003344481604,146087.68442026255,7.1674548123434905,59.55577270046574
0.06236,0.01811740637599939,289,1396094.1705685619,1464942.4177968253,2.247226255924367,9.55393174303814
0.07670666666666667,0.013913251766306955,294,2459247.7491638795,2138642.8186321086,1.1201017513294693,3.6384186767894007
-0.2085400000000001,0.006159019178520171,18,38590.96655518395,218142.90662939637,6.490912435534781,46.28950161943719
-0.20306666666666667,0.006472772327928387,12,40195.20401337792,330205.08026982425,10.349160391213779,119.6557564916026
-0.14960666666666667,0.014388763176420915,167,534342.0802675586,1114076.0900829548,3.462622001105224,17.888372048073585
-0.10545666666666667,0.01408334020267805,217,891092.1571906355,1563100.7949033114,2.6777739274624,10.412265291584816
-0.1747766666666667,0.013393814406949802,105,295590.34448160534,800520.1652949224,4.206248855455371,24.608301006941424
-0.03019,0.035164787932601374,281,1832783.7391304348,1770357.3128524006,1.4605522522254881,5.202988657593949
-0.13755333333333333,0.025195206623117996,144,398854.3846153846,1079307.4079305937,5.099087193296689,35.56341498580472
-0.07164999999999999,0.03742638521611227,273,1435709.6053511705,1630591.3465335688,1.8590343217645064,6.672183730050599
-0.18003999999999998,0.018465244146214543,155,442261.4849498328,1004909.9751233855,4.086855017620879,23.71887614694027
